day	hour	value
1	1	1
2	1	1
3	1	3
1	2	1
2	2	1
3	2	1
1	3	1
2	3	1
1	4	3
2	4	1
3	4	1
1	5	1
2	5	1
1	6	3
2	6	1
3	6	1
1	7	1
2	7	4
3	7	1
1	9	1
2	9	1
3	9	1
1	10	1
2	10	1
3	10	1
1	11	1
2	11	1
3	11	1
1	12	1
2	12	1
3	12	4
1	13	1
2	13	1
3	13	4
1	14	1
2	14	3
3	14	4
4	14	1
1	15	1
2	15	1
3	15	4
4	15	3
1	16	1
2	16	4
3	16	4
4	16	1
1	17	4
2	17	3
3	17	1
4	17	1
1	18	1
2	18	1
3	18	3
4	18	1
1	19	1
2	19	4
3	19	4
4	19	1
1	20	2
2	20	3
3	20	1
4	20	1
1	21	1
2	21	3
3	21	1
4	21	1
1	22	1
2	22	1
3	22	1
4	22	1
1	23	1
2	23	1
3	23	1
4	23	1
